ligand	receptor
BTLA	TNFRSF14
POMC	OPRL1
LAMA5	ITGB1
CCL2	CCR2
NPVF	NPFFR2
RLN3	RXFP4
GDF5	BMPR1A
WNT3	FZD3
WNT3	FZD8
BMP2	BMPR1A
EREG	EGFR
LTA	LTB
LAMC1	ITGAV
PTPRM	PTPRM
VEGFA	VEGFR2
TGFB1	ACVR1C
CD70	CD27
GDF6	ACVR2A
LAMA4	ITGA1
IFNG	IFNGR2
JAM2	ITGA3
FGF7	FGFR2
LAMA3	DAG1
EDN2	EDNRB
CNTF	LIFR
BMP15	BMPR1B
SLURP2	CHRNA9
COL4A4	ITGA1
SELPLG	SELL
FN1	ITGAV
WNT5A	MCAM
CCL21	CCR7
PLG	PARD3
NAMPT	ITGB1
TNXB	ITGA2B
MDK	ITGA6
FGF21	FGFR1
EFNA3	EPHA5
IL18	IL18RAP
IFNA21	IFNAR2
MADCAM1	ITGA4
NECTIN3	TIGIT
INHBC	ACVR1B
IL20	IL22RA1
TNF	TNFRSF1A
HC	C5AR1
MDK	ALK
TGFB2	ACVR1B
NRXN1	NLGN3
INHBB	ACVR1B
DSC1	DSG1
TGFA	ERBB2
LAMB3	ITGA9
WNT6	LRP5
WNT6	FZD7
COL6A5	ITGA11
NRXN3	NLGN3
HLA-E	CD94:NKG2A
RELN	ITGA3
SEMA3A	NRP1
TNR	ITGB6
FGF5	FGFR2
LAMA4	ITGB4
WNT2B	FZD3
SLURP1	CHRNB3
CLEC2A	KLRB1
IHH	PTCH2
BMP4	BMPR1B
COL9A3	ITGB1
TNXB	ITGB1
IL7	IL7R
EPO	EPOR
LAMC3	SV2C
CCL28	CCR3
HBEGF	ERBB4
WNT7B	FZD2
LAMB1	CD44
RLN1	RXFP3
LAMA1	ITGA1
CGA	FSHR
INHBE	ACVR1B
COL1A1	ITGB1
VEGFA	VEGFR1R2
COL4A6	ITGA11
COL4A5	CD44
IL11	IL11RA
CXCL8	CXCR2
TNFSF13	TNFRSF13B
CEACAM1	CEACAM5
CXCL2	CXCR1
CXCL12	ACKR3
SLURP1	CHRNA2
CHAD	ITGB1
WNT1	FZD6
CORT	SSTR3
CCL8	ACKR2
LCK	CD8B1
LAMA4	DAG1
TNFSF13B	TNFRSF13C
PYY	NPY2R
WNT10A	FZD6
LAMB3	ITGA1
COMP	CD36
WNT16	FZD6
COL9A2	SDC4
BMP6	BMPR2
SLURP1	CHRNA9
NRG1	ITGB3
PTN	PTPRZ1
TNFSF11	TNFRSF11B
TNN	SDC1
OSM	OSMR
IL17AF	IL17RA
LAMA1	ITGA3
COL2A1	SDC4
SPP1	ITGB3
COL6A6	ITGA11
SLURP1	CHRNA6
MIF	CD44
NFASC	CNTN1
CD34	SELP
INHBB	ACVR1C
FN1	CD44
COL6A6	ITGB8
IBSP	ITGB3
CDH15	CDH15
KISS1	KISS1R
GDF5	ACVR2B
CCL7	CCR3
COL9A1	ITGA11
COL4A6	ITGB1
LAMC1	ITGA3
